Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,-107.93770,0.08474968,48.39948,2024-11-10 19:08:21.906272,SoftTargetDQN
1,166.56413,0.08474968,64.38152,2024-11-10 19:08:21.906272,SoftTargetDQN
2,147.24167,193.95288,42.76052,2024-11-10 19:08:21.906272,SoftTargetDQN
3,205.24167,195.89404,16.26414,2024-11-10 19:08:21.906272,SoftTargetDQN
4,-66.41082,182.93358,2.70734,2024-11-10 19:08:21.906272,SoftTargetDQN
5,-135.11195,197.85374,48.57677,2024-11-10 19:08:21.906272,SoftTargetDQN
6,205.24167,193.29385,42.84158,2024-11-10 19:08:21.906272,SoftTargetDQN
7,205.24167,202.49223,39.30953,2024-11-10 19:08:21.906272,SoftTargetDQN
8,149.91140,205.61884,49.01533,2024-11-10 19:08:21.906272,SoftTargetDQN
9,30.72585,211.0039,18.11708,2024-11-10 19:08:21.906272,SoftTargetDQN
10,205.24167,208.08224,43.56166,2024-11-10 19:08:21.906272,SoftTargetDQN
11,205.24167,207.57417,41.19239,2024-11-10 19:08:21.906272,SoftTargetDQN
12,31.67153,207.47556,37.58634,2024-11-10 19:08:21.906272,SoftTargetDQN
13,-1.52826,200.66745,27.75769,2024-11-10 19:08:21.906272,SoftTargetDQN
14,205.24167,202.74852,45.01931,2024-11-10 19:08:21.906272,SoftTargetDQN
15,-200.37660,206.66191,45.09291,2024-11-10 19:08:21.906272,SoftTargetDQN
16,88.65991,205.33278,48.85320,2024-11-10 19:08:21.906272,SoftTargetDQN
17,-69.32791,214.83173,52.81950,2024-11-10 19:08:21.906272,SoftTargetDQN
18,-163.31117,215.26611,42.89336,2024-11-10 19:08:21.906272,SoftTargetDQN
19,147.24167,222.65855,41.69623,2024-11-10 19:08:21.906272,SoftTargetDQN
20,55.93911,229.71826,29.09894,2024-11-10 19:08:21.906272,SoftTargetDQN
21,46.51463,228.4045,58.46576,2024-11-10 19:08:21.906272,SoftTargetDQN
22,-197.48682,220.98682,35.84382,2024-11-10 19:08:21.906272,SoftTargetDQN
23,155.81778,228.81503,54.24516,2024-11-10 19:08:21.906272,SoftTargetDQN
24,205.24167,226.59778,39.04615,2024-11-10 19:08:21.906272,SoftTargetDQN
25,-51.23833,236.12459,55.42590,2024-11-10 19:08:21.906272,SoftTargetDQN
26,99.32408,234.43576,51.10871,2024-11-10 19:08:21.906272,SoftTargetDQN
27,-247.96842,223.41527,51.68740,2024-11-10 19:08:21.906272,SoftTargetDQN
28,-197.14069,226.23888,39.27900,2024-11-10 19:08:21.906272,SoftTargetDQN
29,-166.45816,226.25253,39.78760,2024-11-10 19:08:21.906272,SoftTargetDQN
30,45.21567,224.79327,40.54136,2024-11-10 19:08:21.906272,SoftTargetDQN
31,205.24167,220.3467,30.55742,2024-11-10 19:08:21.906272,SoftTargetDQN
32,-8.46667,216.56767,54.62550,2024-11-10 19:08:21.906272,SoftTargetDQN
33,75.85918,211.70251,19.66212,2024-11-10 19:08:21.906272,SoftTargetDQN
