Trajectory,Reward,Estimate,DiscountedReward,DateTime,ExperimentName
0,-236.38661,0.067526825,34.45857,2024-11-10 19:28:05.928793,DoubleDQN
1,-72.94959,0.067526825,51.42306,2024-11-10 19:28:05.928793,DoubleDQN
2,-267.12223,23.8014,13.77156,2024-11-10 19:28:05.928793,DoubleDQN
3,-106.63831,217.25833,69.50904,2024-11-10 19:28:05.928793,DoubleDQN
4,-185.45273,241.49097,46.62876,2024-11-10 19:28:05.928793,DoubleDQN
5,147.24167,245.43611,31.73322,2024-11-10 19:28:05.928793,DoubleDQN
6,-193.62169,240.44992,47.30729,2024-11-10 19:28:05.928793,DoubleDQN
7,72.06515,272.76984,30.06685,2024-11-10 19:28:05.928793,DoubleDQN
8,205.24167,261.6975,42.84158,2024-11-10 19:28:05.928793,DoubleDQN
9,33.40446,270.6605,47.85757,2024-11-10 19:28:05.928793,DoubleDQN
10,-106.07380,277.744,29.76700,2024-11-10 19:28:05.928793,DoubleDQN
11,205.24167,295.6348,45.01931,2024-11-10 19:28:05.928793,DoubleDQN
12,205.24167,297.2597,41.19239,2024-11-10 19:28:05.928793,DoubleDQN
13,-200.85168,299.402,37.27843,2024-11-10 19:28:05.928793,DoubleDQN
14,-250.18496,299.7905,37.30619,2024-11-10 19:28:05.928793,DoubleDQN
15,205.24167,302.2113,32.97220,2024-11-10 19:28:05.928793,DoubleDQN
16,-91.13619,309.7296,41.21036,2024-11-10 19:28:05.928793,DoubleDQN
17,-174.96491,305.68808,40.68081,2024-11-10 19:28:05.928793,DoubleDQN
18,205.24167,307.10434,42.84158,2024-11-10 19:28:05.928793,DoubleDQN
19,190.32982,308.49646,55.91042,2024-11-10 19:28:05.928793,DoubleDQN
20,176.24167,312.96036,30.31858,2024-11-10 19:28:05.928793,DoubleDQN
21,-53.11197,315.94373,45.18428,2024-11-10 19:28:05.928793,DoubleDQN
22,-86.62383,316.2089,40.65827,2024-11-10 19:28:05.928793,DoubleDQN
23,-275.69982,320.55777,40.79801,2024-11-10 19:28:05.928793,DoubleDQN
24,148.74687,313.0218,31.37942,2024-11-10 19:28:05.928793,DoubleDQN
25,-195.42602,320.91257,5.54451,2024-11-10 19:28:05.928793,DoubleDQN
26,123.15186,314.40848,32.29172,2024-11-10 19:28:05.928793,DoubleDQN
27,140.09161,319.94446,25.06167,2024-11-10 19:28:05.928793,DoubleDQN
28,93.33566,299.7424,46.38169,2024-11-10 19:28:05.928793,DoubleDQN
29,165.24167,319.7676,37.49166,2024-11-10 19:28:05.928793,DoubleDQN
30,147.24167,322.79327,28.08349,2024-11-10 19:28:05.928793,DoubleDQN
31,205.24167,326.55005,30.55742,2024-11-10 19:28:05.928793,DoubleDQN
32,205.24167,320.10013,40.77211,2024-11-10 19:28:05.928793,DoubleDQN
33,75.96697,316.20694,21.90637,2024-11-10 19:28:05.928793,DoubleDQN
34,-222.33553,322.48337,51.51791,2024-11-10 19:28:05.928793,DoubleDQN
35,-70.60952,318.9145,57.08694,2024-11-10 19:28:05.928793,DoubleDQN
36,38.80182,327.48563,-5.43639,2024-11-10 19:28:05.928793,DoubleDQN
37,205.24167,321.9925,34.00165,2024-11-10 19:28:05.928793,DoubleDQN
38,80.50898,318.90228,51.35878,2024-11-10 19:28:05.928793,DoubleDQN
39,-16.71525,323.57404,57.43039,2024-11-10 19:28:05.928793,DoubleDQN
40,-73.57922,317.0014,40.62968,2024-11-10 19:28:05.928793,DoubleDQN
41,-103.66496,302.63376,10.59148,2024-11-10 19:28:05.928793,DoubleDQN
42,205.24167,307.17914,40.87858,2024-11-10 19:28:05.928793,DoubleDQN
43,-256.46293,297.50726,-7.31544,2024-11-10 19:28:05.928793,DoubleDQN
44,146.17715,306.60974,56.96896,2024-11-10 19:28:05.928793,DoubleDQN
45,166.94433,295.5056,78.73791,2024-11-10 19:28:05.928793,DoubleDQN
46,31.18293,304.03458,34.99666,2024-11-10 19:28:05.928793,DoubleDQN
47,205.24167,296.38254,46.66850,2024-11-10 19:28:05.928793,DoubleDQN
48,38.33380,298.65317,29.03930,2024-11-10 19:28:05.928793,DoubleDQN
49,287.65838,302.53262,58.58205,2024-11-10 19:28:05.928793,DoubleDQN
50,130.97171,297.243,52.40601,2024-11-10 19:28:05.928793,DoubleDQN
51,205.24167,294.99472,17.54604,2024-11-10 19:28:05.928793,DoubleDQN
52,147.24167,296.02362,27.96094,2024-11-10 19:28:05.928793,DoubleDQN
53,187.35022,303.44333,54.61302,2024-11-10 19:28:05.928793,DoubleDQN
54,-50.20280,300.79797,45.88944,2024-11-10 19:28:05.928793,DoubleDQN
55,205.24167,292.41675,25.47589,2024-11-10 19:28:05.928793,DoubleDQN
56,-134.82881,301.7372,25.25246,2024-11-10 19:28:05.928793,DoubleDQN
57,174.71225,305.9666,63.41308,2024-11-10 19:28:05.928793,DoubleDQN
58,-231.67954,292.8152,20.65905,2024-11-10 19:28:05.928793,DoubleDQN
59,-217.10471,291.2176,71.93322,2024-11-10 19:28:05.928793,DoubleDQN
60,147.24167,294.64343,28.24337,2024-11-10 19:28:05.928793,DoubleDQN
61,205.24167,287.2768,41.19239,2024-11-10 19:28:05.928793,DoubleDQN
62,-252.79934,298.66324,3.86671,2024-11-10 19:28:05.928793,DoubleDQN
63,-106.79383,299.28,48.02245,2024-11-10 19:28:05.928793,DoubleDQN
64,118.24167,290.89172,32.77308,2024-11-10 19:28:05.928793,DoubleDQN
65,459.10471,288.75287,53.49096,2024-11-10 19:28:05.928793,DoubleDQN
66,114.40979,284.27237,54.47950,2024-11-10 19:28:05.928793,DoubleDQN
67,-41.06409,283.97958,55.47305,2024-11-10 19:28:05.928793,DoubleDQN
68,205.24167,281.86755,27.42397,2024-11-10 19:28:05.928793,DoubleDQN
69,147.24167,286.89102,25.59021,2024-11-10 19:28:05.928793,DoubleDQN
70,208.34750,284.91776,58.16816,2024-11-10 19:28:05.928793,DoubleDQN
71,32.21757,284.66025,20.38816,2024-11-10 19:28:05.928793,DoubleDQN
72,-16.92500,287.05484,33.23541,2024-11-10 19:28:05.928793,DoubleDQN
73,286.30555,278.77042,44.72341,2024-11-10 19:28:05.928793,DoubleDQN
74,-85.95691,282.17572,45.75380,2024-11-10 19:28:05.928793,DoubleDQN
75,504.68106,278.89246,53.00103,2024-11-10 19:28:05.928793,DoubleDQN
76,62.36669,275.53113,59.07006,2024-11-10 19:28:05.928793,DoubleDQN
77,176.24167,276.6774,30.74124,2024-11-10 19:28:05.928793,DoubleDQN
78,205.24167,272.66534,31.48793,2024-11-10 19:28:05.928793,DoubleDQN
79,204.24167,275.21747,59.92093,2024-11-10 19:28:05.928793,DoubleDQN
80,28.98094,283.22528,47.61659,2024-11-10 19:28:05.928793,DoubleDQN
81,-158.78447,274.03238,46.60618,2024-11-10 19:28:05.928793,DoubleDQN
82,-5.85996,277.1128,37.83171,2024-11-10 19:28:05.928793,DoubleDQN
83,205.24167,270.59094,32.68977,2024-11-10 19:28:05.928793,DoubleDQN
84,36.71952,275.83948,43.92687,2024-11-10 19:28:05.928793,DoubleDQN
85,313.99555,276.30093,67.17112,2024-11-10 19:28:05.928793,DoubleDQN
86,359.10526,272.50558,67.41099,2024-11-10 19:28:05.928793,DoubleDQN
87,155.85626,269.25055,60.94226,2024-11-10 19:28:05.928793,DoubleDQN
88,-208.46735,266.50873,30.39883,2024-11-10 19:28:05.928793,DoubleDQN
89,-49.15133,263.75748,53.30321,2024-11-10 19:28:05.928793,DoubleDQN
90,261.69178,269.26578,63.78614,2024-11-10 19:28:05.928793,DoubleDQN
91,205.24167,267.8624,29.07315,2024-11-10 19:28:05.928793,DoubleDQN
92,-88.78077,259.5505,51.53096,2024-11-10 19:28:05.928793,DoubleDQN
93,176.24167,266.9529,32.32928,2024-11-10 19:28:05.928793,DoubleDQN
94,-48.63458,266.23135,53.50442,2024-11-10 19:28:05.928793,DoubleDQN
95,85.09483,268.72787,41.68244,2024-11-10 19:28:05.928793,DoubleDQN
96,73.98368,264.29303,69.67654,2024-11-10 19:28:05.928793,DoubleDQN
97,280.07597,271.88803,59.29754,2024-11-10 19:28:05.928793,DoubleDQN
98,-57.68333,265.69516,24.14016,2024-11-10 19:28:05.928793,DoubleDQN
99,1.47624,258.9379,51.92670,2024-11-10 19:28:05.928793,DoubleDQN
100,176.24167,268.843,42.54796,2024-11-10 19:28:05.928793,DoubleDQN
101,236.78129,249.27744,56.04030,2024-11-10 19:28:05.928793,DoubleDQN
102,86.00341,269.18503,51.18917,2024-11-10 19:28:05.928793,DoubleDQN
103,159.05157,260.55746,48.43961,2024-11-10 19:28:05.928793,DoubleDQN
104,-13.60323,258.43283,37.82973,2024-11-10 19:28:05.928793,DoubleDQN
105,147.24167,261.36673,40.27041,2024-11-10 19:28:05.928793,DoubleDQN
106,-223.66628,266.60678,53.04932,2024-11-10 19:28:05.928793,DoubleDQN
107,-66.41082,259.87634,16.12577,2024-11-10 19:28:05.928793,DoubleDQN
108,118.24167,265.2568,27.66507,2024-11-10 19:28:05.928793,DoubleDQN
109,35.26771,260.10712,36.58727,2024-11-10 19:28:05.928793,DoubleDQN
110,176.24167,255.65662,44.54723,2024-11-10 19:28:05.928793,DoubleDQN
111,-117.64667,264.95877,33.21636,2024-11-10 19:28:05.928793,DoubleDQN
112,30.72585,265.8861,24.18377,2024-11-10 19:28:05.928793,DoubleDQN
113,-44.68733,258.99048,55.37654,2024-11-10 19:28:05.928793,DoubleDQN
114,-10.54821,267.84375,50.83992,2024-11-10 19:28:05.928793,DoubleDQN
115,-93.63259,258.42212,48.25696,2024-11-10 19:28:05.928793,DoubleDQN
116,147.24167,257.49185,36.47213,2024-11-10 19:28:05.928793,DoubleDQN
117,205.24167,259.37744,37.47710,2024-11-10 19:28:05.928793,DoubleDQN
118,131.72044,253.29036,47.16432,2024-11-10 19:28:05.928793,DoubleDQN
119,263.89359,259.2224,19.43059,2024-11-10 19:28:05.928793,DoubleDQN
120,205.24167,255.4219,43.87547,2024-11-10 19:28:05.928793,DoubleDQN
121,205.24167,252.95142,42.84158,2024-11-10 19:28:05.928793,DoubleDQN
122,113.51773,256.92026,42.35651,2024-11-10 19:28:05.928793,DoubleDQN
123,147.24167,254.33807,39.43655,2024-11-10 19:28:05.928793,DoubleDQN
124,3.12941,250.90318,37.32848,2024-11-10 19:28:05.928793,DoubleDQN
125,-201.43718,249.2315,52.30391,2024-11-10 19:28:05.928793,DoubleDQN
126,160.87272,248.1213,46.25425,2024-11-10 19:28:05.928793,DoubleDQN
127,-91.75008,252.18085,41.77027,2024-11-10 19:28:05.928793,DoubleDQN
128,176.24167,251.79324,44.81031,2024-11-10 19:28:05.928793,DoubleDQN
129,200.93742,251.17499,44.74689,2024-11-10 19:28:05.928793,DoubleDQN
130,-39.82351,253.39236,57.23756,2024-11-10 19:28:05.928793,DoubleDQN
131,-250.77365,236.83392,31.39743,2024-11-10 19:28:05.928793,DoubleDQN
132,-43.45637,248.9797,40.50282,2024-11-10 19:28:05.928793,DoubleDQN
133,322.30259,242.45052,47.04660,2024-11-10 19:28:05.928793,DoubleDQN
134,-13.07946,231.11606,34.19682,2024-11-10 19:28:05.928793,DoubleDQN
135,-12.23801,249.81544,36.17232,2024-11-10 19:28:05.928793,DoubleDQN
136,205.24167,244.29494,42.04304,2024-11-10 19:28:05.928793,DoubleDQN
137,-142.87045,244.42662,38.11975,2024-11-10 19:28:05.928793,DoubleDQN
138,176.24167,236.80458,32.92636,2024-11-10 19:28:05.928793,DoubleDQN
139,29.49702,243.87747,62.75850,2024-11-10 19:28:05.928793,DoubleDQN
140,205.24167,251.31578,28.44140,2024-11-10 19:28:05.928793,DoubleDQN
141,41.68783,235.14314,44.48882,2024-11-10 19:28:05.928793,DoubleDQN
142,172.33895,245.99861,46.39715,2024-11-10 19:28:05.928793,DoubleDQN
143,205.24167,240.31613,29.55631,2024-11-10 19:28:05.928793,DoubleDQN
144,93.94846,239.93283,66.74757,2024-11-10 19:28:05.928793,DoubleDQN
145,30.88464,230.65945,65.39148,2024-11-10 19:28:05.928793,DoubleDQN
146,204.24167,226.13182,53.92540,2024-11-10 19:28:05.928793,DoubleDQN
147,205.24167,236.82729,31.48793,2024-11-10 19:28:05.928793,DoubleDQN
148,333.01179,246.82674,68.99165,2024-11-10 19:28:05.928793,DoubleDQN
149,484.93408,233.89536,2.16904,2024-11-10 19:28:05.928793,DoubleDQN
150,-245.51273,245.02132,26.92174,2024-11-10 19:28:05.928793,DoubleDQN
151,-27.22900,236.12482,27.94606,2024-11-10 19:28:05.928793,DoubleDQN
152,73.60907,229.73895,57.48780,2024-11-10 19:28:05.928793,DoubleDQN
153,117.24167,234.18059,63.59651,2024-11-10 19:28:05.928793,DoubleDQN
154,86.39125,243.99043,22.23106,2024-11-10 19:28:05.928793,DoubleDQN
155,203.53180,241.94568,11.94869,2024-11-10 19:28:05.928793,DoubleDQN
156,216.62000,232.19994,69.30479,2024-11-10 19:28:05.928793,DoubleDQN
157,204.24167,229.97575,56.36275,2024-11-10 19:28:05.928793,DoubleDQN
158,38.19588,246.03427,-1.89523,2024-11-10 19:28:05.928793,DoubleDQN
159,223.85626,236.55519,72.08732,2024-11-10 19:28:05.928793,DoubleDQN
160,238.32221,225.37477,98.10185,2024-11-10 19:28:05.928793,DoubleDQN
161,7.01427,231.90039,42.38328,2024-11-10 19:28:05.928793,DoubleDQN
162,122.53946,223.99858,62.44622,2024-11-10 19:28:05.928793,DoubleDQN
163,155.66934,230.37111,60.05524,2024-11-10 19:28:05.928793,DoubleDQN
164,484.80426,221.30984,67.69834,2024-11-10 19:28:05.928793,DoubleDQN
165,-9.19167,216.67136,22.82035,2024-11-10 19:28:05.928793,DoubleDQN
166,82.35581,224.60431,33.07131,2024-11-10 19:28:05.928793,DoubleDQN
167,-143.38522,220.01317,40.10170,2024-11-10 19:28:05.928793,DoubleDQN
168,43.47028,224.94464,50.94788,2024-11-10 19:28:05.928793,DoubleDQN
169,150.02122,219.14973,65.06620,2024-11-10 19:28:05.928793,DoubleDQN
170,80.46287,219.28587,43.66689,2024-11-10 19:28:05.928793,DoubleDQN
171,-188.18832,225.1743,70.48223,2024-11-10 19:28:05.928793,DoubleDQN
172,28.73992,223.59422,53.90513,2024-11-10 19:28:05.928793,DoubleDQN
173,71.39962,216.0709,95.25103,2024-11-10 19:28:05.928793,DoubleDQN
174,-10.29412,194.02435,52.22228,2024-11-10 19:28:05.928793,DoubleDQN
175,333.16555,208.42497,63.75381,2024-11-10 19:28:05.928793,DoubleDQN
176,39.55032,208.6306,59.32043,2024-11-10 19:28:05.928793,DoubleDQN
177,-234.75256,200.42316,48.85369,2024-11-10 19:28:05.928793,DoubleDQN
178,378.55715,203.12157,72.37794,2024-11-10 19:28:05.928793,DoubleDQN
179,-56.76953,201.46446,45.49354,2024-11-10 19:28:05.928793,DoubleDQN
180,159.72044,199.02936,54.07634,2024-11-10 19:28:05.928793,DoubleDQN
181,50.09348,199.43579,60.60941,2024-11-10 19:28:05.928793,DoubleDQN
182,197.23727,204.67665,84.26384,2024-11-10 19:28:05.928793,DoubleDQN
183,303.05959,196.6143,64.71357,2024-11-10 19:28:05.928793,DoubleDQN
184,-183.03172,193.80727,49.38416,2024-11-10 19:28:05.928793,DoubleDQN
185,160.37926,199.00183,46.38109,2024-11-10 19:28:05.928793,DoubleDQN
186,66.16541,195.15858,66.48109,2024-11-10 19:28:05.928793,DoubleDQN
187,106.49082,193.70427,67.42429,2024-11-10 19:28:05.928793,DoubleDQN
188,387.42928,193.45395,64.50631,2024-11-10 19:28:05.928793,DoubleDQN
189,-8.62090,188.8912,33.86424,2024-11-10 19:28:05.928793,DoubleDQN
190,371.38458,194.84212,55.41735,2024-11-10 19:28:05.928793,DoubleDQN
191,116.10969,196.01585,91.15700,2024-11-10 19:28:05.928793,DoubleDQN
192,-121.23130,188.19354,52.21811,2024-11-10 19:28:05.928793,DoubleDQN
193,85.86985,186.22246,43.87645,2024-11-10 19:28:05.928793,DoubleDQN
194,4.73860,188.14044,41.53931,2024-11-10 19:28:05.928793,DoubleDQN
195,417.37007,189.5092,63.50742,2024-11-10 19:28:05.928793,DoubleDQN
196,118.34347,184.44133,49.14302,2024-11-10 19:28:05.928793,DoubleDQN
197,392.49747,194.15788,89.28337,2024-11-10 19:28:05.928793,DoubleDQN
198,146.12251,185.27415,54.75136,2024-11-10 19:28:05.928793,DoubleDQN
199,153.13784,181.06657,60.52837,2024-11-10 19:28:05.928793,DoubleDQN
200,90.56424,185.11061,85.34011,2024-11-10 19:28:05.928793,DoubleDQN
201,197.79451,186.19675,62.14627,2024-11-10 19:28:05.928793,DoubleDQN
202,550.58837,181.99101,65.96152,2024-11-10 19:28:05.928793,DoubleDQN
203,100.17772,173.57147,44.82973,2024-11-10 19:28:05.928793,DoubleDQN
204,165.65568,188.05252,38.90903,2024-11-10 19:28:05.928793,DoubleDQN
205,333.62724,172.90323,45.89195,2024-11-10 19:28:05.928793,DoubleDQN
206,518.99090,167.56792,50.68296,2024-11-10 19:28:05.928793,DoubleDQN
207,524.40244,185.21149,49.05637,2024-11-10 19:28:05.928793,DoubleDQN
208,336.67478,181.97627,52.33329,2024-11-10 19:28:05.928793,DoubleDQN
209,407.20478,171.84482,64.92893,2024-11-10 19:28:05.928793,DoubleDQN
210,541.43380,180.61638,48.49677,2024-11-10 19:28:05.928793,DoubleDQN
211,505.03802,174.12334,50.13922,2024-11-10 19:28:05.928793,DoubleDQN
212,167.93714,186.45204,48.36106,2024-11-10 19:28:05.928793,DoubleDQN
213,441.25509,182.24622,64.81863,2024-11-10 19:28:05.928793,DoubleDQN
214,523.00658,187.14137,55.00030,2024-11-10 19:28:05.928793,DoubleDQN
215,566.27501,183.95044,54.87243,2024-11-10 19:28:05.928793,DoubleDQN
216,368.69548,183.12643,69.10365,2024-11-10 19:28:05.928793,DoubleDQN
217,592.67344,193.32544,68.11025,2024-11-10 19:28:05.928793,DoubleDQN
218,248.09673,186.16696,35.39611,2024-11-10 19:28:05.928793,DoubleDQN
219,522.04058,179.09418,66.72513,2024-11-10 19:28:05.928793,DoubleDQN
220,546.19359,182.44208,68.81578,2024-11-10 19:28:05.928793,DoubleDQN
221,490.67769,178.09995,69.05839,2024-11-10 19:28:05.928793,DoubleDQN
222,641.59886,180.29355,85.89779,2024-11-10 19:28:05.928793,DoubleDQN
223,356.52491,177.5343,108.95169,2024-11-10 19:28:05.928793,DoubleDQN
224,556.33321,164.46213,53.30703,2024-11-10 19:28:05.928793,DoubleDQN
225,-82.92781,169.71056,63.87894,2024-11-10 19:28:05.928793,DoubleDQN
226,565.04349,173.858,67.35247,2024-11-10 19:28:05.928793,DoubleDQN
227,608.25179,181.65846,71.40142,2024-11-10 19:28:05.928793,DoubleDQN
228,218.96636,172.21623,80.54469,2024-11-10 19:28:05.928793,DoubleDQN
229,188.40186,175.99347,59.71526,2024-11-10 19:28:05.928793,DoubleDQN
230,684.47161,175.19543,105.94239,2024-11-10 19:28:05.928793,DoubleDQN
